sentiment,text,original_text,cleaned_text,korean_translation
1,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back ","@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back ",Honestly it depends on the woman I love dresses that tend to dip low in the back,솔직히 그것은 내가 뒤에서 낮게 떨어지는 경향이있는 드레스를 좋아하는 여자에 달려 있습니다.
0,I feel as though I'm letting down the feminist side by being so focused on ATP and not nearly as much on WTA. =/ Sorry. ,I feel as though I'm letting down the feminist side by being so focused on ATP and not nearly as much on WTA. =/ Sorry. ,I feel as though I m letting down the feminist side by being so focused on ATP and not nearly as much on WTA Sorry,나는 ATP에 너무 집중되어 페미니스트 측면을 실망시키는 것처럼 느낀다.
0,im trying to keep awake!!!!!!!!!!!!!!! its painful ,im trying to keep awake!!!!!!!!!!!!!!! its painful ,im trying to keep awake its painful,나는 그것의 고통을 유지하려고 노력하고있다
0,feeling ill ill ill.  goodnight.,feeling ill ill ill.  goodnight.,feeling ill ill ill goodnight,아플 외 잘 나가는 느낌
0,@cabel the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints ,@cabel the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints ,the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints,가장 중요한 부분은 힌트에서 호환성 모드를 비활성화하기 위해 IE8 UserAgent를 사용할 때입니다.
0,@EwitaK where is the love yall seeing movies without me ,@EwitaK where is the love yall seeing movies without me ,where is the love yall seeing movies without me,나없이 영화를 보는 사랑은 어디에 있습니까?
0,@nidialmann @2_Centz wish i was there ,@nidialmann @2_Centz wish i was there ,wish i was there,내가 거기 있었으면 좋겠어
1,watching tv. &quot;2 fast 2 furious&quot; dang I remember when I loved this damn movie ,watching tv. &quot;2 fast 2 furious&quot; dang I remember when I loved this damn movie ,watching tv quot 2 fast 2 furious quot dang I remember when I loved this damn movie,TV Quot 2 Fast 2 Furious Quot Dang 이이 빌어 먹을 영화를 좋아할 때 기억합니다.
0,Doh! Planned to do some work in the cafe before a meeting. eduroam is not working. Spent the last ten minutes setting up roamnet. ,Doh! Planned to do some work in the cafe before a meeting. eduroam is not working. Spent the last ten minutes setting up roamnet. ,Doh Planned to do some work in the cafe before a meeting eduroam is not working Spent the last ten minutes setting up roamnet,DOH는 회의에 Eduroam이 일하지 않기 전에 카페에서 일을 할 계획입니다. 지난 10 분 동안 Roamnet을 설정했습니다.
1,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Hahaha blakk is reckkkin it p throwwwwwed,Hahaha Blakk는 reckkin입니다
1,"Roaming the floor today  I will need some company on here, it's not busy!","Roaming the floor today  I will need some company on here, it's not busy!",Roaming the floor today I will need some company on here it s not busy,오늘 바닥을 돌아 다니며 여기에 회사가 필요합니다.
1,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,hi sounds like you re feeling a bit better that s great you have a great day,안녕 당신은 조금 나아진 느낌이 든다.
1,Here  dude we got here n a table readyyy fo us ,Here  dude we got here n a table readyyy fo us ,Here dude we got here n a table readyyy fo us,여기 친구 우리가 여기에 a 테이블 준비
1,@LittleFletcher Hi Carrie  How are you this morning? Xxx,@LittleFletcher Hi Carrie  How are you this morning? Xxx,Hi Carrie How are you this morning Xxx,안녕 캐리 오늘 아침 xxx는 어떻게 지내세요
1,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ","@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",On a good note we DID meet at Marty Richards RED BALL a few years ago you were so sweet to me I ll never forget it,몇 년 전 Marty Richards Red Ball에서 만난 좋은 점에서 당신은 나에게 너무 달콤했습니다.
0,@OhSnapItsNicole why does it always rain when your not heree ,@OhSnapItsNicole why does it always rain when your not heree ,why does it always rain when your not heree,여기에 있지 않을 때 왜 항상 비가 오는가
1,HAHAHAHAHAHHAHAHA. I dont think we need to jump anyone. She's hot  #hewouldbeluckytobebuttercupdsboyfriend,HAHAHAHAHAHHAHAHA. I dont think we need to jump anyone. She's hot  #hewouldbeluckytobebuttercupdsboyfriend,HAHAHAHAHAHHAHAHA I dont think we need to jump anyone She s hot hewouldbeluckytobebuttercupdsboyfriend,hahahahahahahahhahaha 나는 우리가 누구를 뛰어 넘을 필요가 없다고 생각합니다.
0,"@DracoRigel Good Morning to you. No sun here today I am afraid, its rainng  But got my coffee ;)","@DracoRigel Good Morning to you. No sun here today I am afraid, its rainng  But got my coffee ;)",Good Morning to you No sun here today I am afraid its rainng But got my coffee,당신에게 좋은 아침 여기서 태양이 여기에 태양이 없습니다.
1,"@spiv1 no prob, anytime you need some drinking support/encouragement, I&quot;m here  It's my specialty ","@spiv1 no prob, anytime you need some drinking support/encouragement, I&quot;m here  It's my specialty ",no prob anytime you need some drinking support encouragement I quot m here It s my specialty,당신이 마실 필요가 없을 때는 아무것도 마시는 지원 격려가 필요합니다.
0,@crystalchappell ok I will go back to painting my house ,@crystalchappell ok I will go back to painting my house ,ok I will go back to painting my house,"좋아, 나는 내 집을 그리는 곳으로 돌아갈 것이다"
1,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,there r a few of us local yocals around happy to find u on twitter 2day,트위터에서 u를 찾아서 행복한 주변의 우리 지역 yocals가 있습니다.
1,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ","just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",just back from SuperCheap a most successful trip The bikes are tanked amp checked for the week so all ready to start relaxing,Supercheap에서 가장 성공적인 여행에서 바로 다시 자전거가 탱크로 amp가 일주일 동안 점검되어 휴식을 시작할 준비가되어 있습니다.
0,@mscrissy nope..I know ,@mscrissy nope..I know ,nope I know,"아니, 알아요"
1,@sephrenia1982 good work ,@sephrenia1982 good work ,good work,잘 했어
1,@madonnamike I thought you'd be pissed at me because you love CL. I totally respect her and that's why I made the reference ,@madonnamike I thought you'd be pissed at me because you love CL. I totally respect her and that's why I made the reference ,I thought you d be pissed at me because you love CL I totally respect her and that s why I made the reference,"나는 당신이 cl을 사랑하기 때문에 당신이 나에게 화를내는 줄 알았는데, 나는 그녀를 완전히 존중하고 내가 참조 한 이유"
0,OKLAHOMA!!! for a couple hours. i'm seriously missing civilization ,OKLAHOMA!!! for a couple hours. i'm seriously missing civilization ,OKLAHOMA for a couple hours i m seriously missing civilization,몇 시간 동안 오클라호마 나는 진지하게 문명을 잃어 버렸습니다.
1,@marioSOTM I ended up helping out Radio 1 newsbeat out there. It was a massively fun evening I spent with them. Champions of England! ,@marioSOTM I ended up helping out Radio 1 newsbeat out there. It was a massively fun evening I spent with them. Champions of England! ,I ended up helping out Radio 1 newsbeat out there It was a massively fun evening I spent with them Champions of England,나는 Radio 1 Newsbeat를 돕게되었다
1,@pmdhazy While your at it can you make me a thingamy? Looks a bit like |___/\ but bigger and it offer a hole in it  #engineeringdrawing,@pmdhazy While your at it can you make me a thingamy? Looks a bit like |___/\ but bigger and it offer a hole in it  #engineeringdrawing,While your at it can you make me a thingamy Looks a bit like ___ but bigger and it offer a hole in it engineeringdrawing,당신이 그것에 대해 당신은 나를 ___처럼 보이지만 더 크고 IT Engineering Drawing에 구멍을 제공합니다.
0,FINALLY IM BACKKKKKKK!!!!!!!!!!! =D and with bad news  R.I.P. Don To~o...,FINALLY IM BACKKKKKKK!!!!!!!!!!! =D and with bad news  R.I.P. Don To~o...,FINALLY IM BACKKKKKKK D and with bad news R I P Don To o,마지막으로 im backkkkkk d 그리고 나쁜 소식과 함께 o r i p don to o
1,Happy Mother's Day to the wondeful Mum's in America  God Bless You All.,Happy Mother's Day to the wondeful Mum's in America  God Bless You All.,Happy Mother s Day to the wondeful Mum s in America God Bless You All,미국의 놀라운 엄마에게 행복한 어머니의 날 신의 축복을 빕니다
0,says i so miss justice  Broom box kada. ,says i so miss justice  Broom box kada. ,says i so miss justice Broom box kada,내가 너무 그리워 빗자루 박스 카다
1,@Primevalfans aw cool  and the woman who plays Morgana in Merlin is in it too,@Primevalfans aw cool  and the woman who plays Morgana in Merlin is in it too,aw cool and the woman who plays Morgana in Merlin is in it too,Aw Cool과 Merlin에서 Morgana를 연기하는 여성도 그 안에 있습니다.
1,@TheUncoolest ,@TheUncoolest ,,
1,Night in with the rock star...  ,Night in with the rock star...  ,Night in with the rock star,록 스타와 함께 밤
1,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,Don t really have a reason haha sounds stupid I ll be 14,정말 이유가 없어 haha ​​멍청한 소리가 나는
1,ugh i wish this school year would go faster so i can move on in life ,ugh i wish this school year would go faster so i can move on in life ,ugh i wish this school year would go faster so i can move on in life,ugh 나는이 학년도가 더 빨리 진행되기를 바랍니다.
0,@IrieDiva can only make what the company has available ,@IrieDiva can only make what the company has available ,can only make what the company has available,회사가 제공 한 것을 만들 수 있습니다
0,"@rhysatwork @dsko @beet09 @ausi1 Hope you guys are all going well with your #NET12 assignments...I'm trying to cut 34,354 down to 3,435 ","@rhysatwork @dsko @beet09 @ausi1 Hope you guys are all going well with your #NET12 assignments...I'm trying to cut 34,354 down to 3,435 ",Hope you guys are all going well with your NET12 assignments I m trying to cut 34 354 down to 3 435,너희들이 너의 Net12 과제와 잘 어울리기를 바랍니다. 34 354를 3435로 줄이려고합니다.
1,Off to Whipsnade  Hope it's dry,Off to Whipsnade  Hope it's dry,Off to Whipsnade Hope it s dry,Whipsnade를 떠나기는 그것이 건조하기를 바랍니다
0,i was at the park today and i was racing my cousins and i slipped and cut my arm ,i was at the park today and i was racing my cousins and i slipped and cut my arm ,i was at the park today and i was racing my cousins and i slipped and cut my arm,나는 오늘 공원에 있었고 나는 사촌을 경주하고 있었고 나는 미끄러 져 내 팔을 자릅니다.
0,Keen for hey monday to make a mess in new zealand.. if only!  i &lt;3 jesus. Straight up christian,Keen for hey monday to make a mess in new zealand.. if only!  i &lt;3 jesus. Straight up christian,Keen for hey monday to make a mess in new zealand if only i lt 3 jesus Straight up christian,월요일에 뉴질랜드에서 혼란스러워하는 예리
0,"@therainbowgirl Ah, poor you  I hate when that happens!","@therainbowgirl Ah, poor you  I hate when that happens!",Ah poor you I hate when that happens,"아, 그 일이 일어날 때 나는 당신이 싫어"
1,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ","@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",Fine Kinders coughing again so not a lot of sleep Weather s good though that s the main thing,다시 기침을하는 좋은 킨더 그래서 너무 많은 수면 날씨가 좋지는 않지만 그게 가장 중요합니다.
1,@openak it's just you and me bro ,@openak it's just you and me bro ,it s just you and me bro,그것은 단지 당신과 나에게 형제입니다
1,Setting up the wireless access layer of my network today. Mesh lab coming online.  can't wait to run loads through it and gather data.,Setting up the wireless access layer of my network today. Mesh lab coming online.  can't wait to run loads through it and gather data.,Setting up the wireless access layer of my network today Mesh lab coming online can t wait to run loads through it and gather data,내 네트워크의 무선 액세스 계층 설정 오늘 Mesh Lab 온라인으로 오는 메시 랩을 통해로드를 실행하고 데이터를 수집 할 수 있습니다.
0,Its official my boss and savior is leaving arco arena for future endevors.  This really sucks ,Its official my boss and savior is leaving arco arena for future endevors.  This really sucks ,Its official my boss and savior is leaving arco arena for future endevors This really sucks,내 상사와 구세주는 미래의 endevors를 위해 Arco Arena를 떠나고 있습니다.
1,"@mithss mourniiiiiiing eh, morniiing!!! ","@mithss mourniiiiiiing eh, morniiing!!! ",mourniiiiiiing eh morniiing,mourniiiiiing eh morniiing
1,in business lesson ...listen 2 music ,in business lesson ...listen 2 music ,in business lesson listen 2 music,비즈니스 레슨에서 2 음악을 듣습니다
1,Enjoying the last rays of the weekend sun ,Enjoying the last rays of the weekend sun ,Enjoying the last rays of the weekend sun,주말 태양의 마지막 광선을 즐기고 있습니다
0,@_KrishaMarie they have a TapEx on campus.  Safe to say they make lots of money.,@_KrishaMarie they have a TapEx on campus.  Safe to say they make lots of money.,they have a TapEx on campus Safe to say they make lots of money,그들은 많은 돈을 벌기 위해 캠퍼스에 테이프를 가지고 있습니다.
1,"ok ok .. i'm completely stuffed  full of AVOCADO   i thnk if i was on Survivor, i'd be fine if there was just one avo tree ","ok ok .. i'm completely stuffed  full of AVOCADO   i thnk if i was on Survivor, i'd be fine if there was just one avo tree ",ok ok i m completely stuffed full of AVOCADO i thnk if i was on Survivor i d be fine if there was just one avo tree,OK OK 나는 아보카도로 완전히 채워져 있습니다. 내가 생존자에 있었다면 나는 단 하나의 avo 트리 만 있으면 괜찮습니다.
0,@imaginarypeach now your leaving me  .... -gets sad-,@imaginarypeach now your leaving me  .... -gets sad-,now your leaving me gets sad,이제 당신의 떠나는 것은 슬퍼합니다
1,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Seattle PRIDE will be June 28th at 11am Come out and support your community March with the marriage equality contingent,시애틀 프라이드는 6 월 28 일 오전 11시에 나와서 결혼 평등과 함께 지역 사회 행진을 지원합니다.
1,"@tamiami1976 Don't ask me, I still have no idea how to work twitter. ","@tamiami1976 Don't ask me, I still have no idea how to work twitter. ",Don t ask me I still have no idea how to work twitter,나에게 묻지 말아요 트위터에서 일하는 방법이 전혀 모르겠어
0,@BaileyyScott I miss you fool ,@BaileyyScott I miss you fool ,I miss you fool,나는 당신이 바보가 그리워요
0,Really craving some chocolate ....i think i should continue my diet ,Really craving some chocolate ....i think i should continue my diet ,Really craving some chocolate i think i should continue my diet,정말 초콜릿을 갈망하고 다이어트를 계속해야한다고 생각해
0,OMG. I have a pimple coming in on my forehead. I guess its true...no body's perfect ,OMG. I have a pimple coming in on my forehead. I guess its true...no body's perfect ,OMG I have a pimple coming in on my forehead I guess its true no body s perfect,OMG 나는 내 이마에 여드름이 들어오고 있습니다.
1,luvly day in the sunshine  onli 4 days now :0 OASIS,luvly day in the sunshine  onli 4 days now :0 OASIS,luvly day in the sunshine onli 4 days now 0 OASIS,햇빛의 luvly day onli 4 일 이제 0 오아시스
0,"last day at the sioux falls salon, i will miss my younkers family..  #fb","last day at the sioux falls salon, i will miss my younkers family..  #fb",last day at the sioux falls salon i will miss my younkers family fb,Sioux Falls Salon에서 마지막 날 나는 내 Younkers 가족 FB를 그리워 할 것입니다.
1,@ItsNeet 100%.. its like getting an A for all your classes.. ,@ItsNeet 100%.. its like getting an A for all your classes.. ,100 its like getting an A for all your classes,100 모든 수업에 A를 얻는 것과 같습니다.
1,"@alinemcintyre You should work on the next cruise, amiga! ","@alinemcintyre You should work on the next cruise, amiga! ",You should work on the next cruise amiga,다음 크루즈 Amiga에서 작업해야합니다
1,@4prina can u check mine out and tell me wat u think  www.myspace.com/trabeezy,@4prina can u check mine out and tell me wat u think  www.myspace.com/trabeezy,can u check mine out and tell me wat u think,내 확인을 확인하고 나에게 말해 줄 수 있니?
1,i have find my someone ,i have find my someone ,i have find my someone,나는 내 누군가를 찾았다
1,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,We are the quot Fugazi Patrol quot amp our motto is quot If u see a clown point em out quot please let everyone know about us,우리는 quot fugazi patrol quot amp입니다. 우리의 좌우명은 당신이 광대 포인트를 보면 quot 아웃 quot appe gelse 모두에게 우리에 대해 알려주십시오.
1,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,it is ginormous Haha well i feel wierd talking about myy ziiiit ta ta good nightt,"그것은 거대한 haha ​​글쎄, 나는 myy ziiiit ta ta good nightt에 대해 이야기하는 것 같아"
1,I'm obsessed with twitting  haha,I'm obsessed with twitting  haha,I m obsessed with twitting haha,나는 하하를 트위팅하는 것에 집착했다
1,is on the phone ,is on the phone ,is on the phone,전화에 있습니다
0,@SoulAdored65  so horrible.... the poor mom...,@SoulAdored65  so horrible.... the poor mom...,so horrible the poor mom,너무 끔찍한 가난한 엄마
0,@malcolmbastien I do... But then what after that? A desolate wasteland of nothing! I'll be like Mel when he was left naked in the desert ,@malcolmbastien I do... But then what after that? A desolate wasteland of nothing! I'll be like Mel when he was left naked in the desert ,I do But then what after that A desolate wasteland of nothing I ll be like Mel when he was left naked in the desert,나는하지만 그 후에 그 후에는 아무것도없는 황무지가 아무것도 없다.
0,The garden looks beautiful! Too bad you can't see it!  ,The garden looks beautiful! Too bad you can't see it!  ,The garden looks beautiful Too bad you can t see it,정원은 너무 아름답게 보이고 당신은 그것을 볼 수 없습니다
1,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ","@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",OH I ve Got a case I designed it Someone idiot stole it and I can prove it If they want to play hardball I m game,"오, 나는 누군가를 설계 한 사건을 얻었습니다."
0,"My smartcard fell out of its holder when I was going home today. If anyone finds it, please tell me ","My smartcard fell out of its holder when I was going home today. If anyone finds it, please tell me ",My smartcard fell out of its holder when I was going home today If anyone finds it please tell me,내가 오늘 집에 갈 때 내 스마트 카드가 홀더에서 떨어졌다.
1,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs","@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",Congrats on the 4x platinum It s a fantastic album one of my favs,4x 플래티넘 축하합니다.
1,Starbucks! The best way to start the morning ,Starbucks! The best way to start the morning ,Starbucks The best way to start the morning,스타 벅스는 아침을 시작하는 가장 좋은 방법입니다
1,"How I Met Your Mother - The Leap, Tomorrow 2.am. ","How I Met Your Mother - The Leap, Tomorrow 2.am. ",How I Met Your Mother The Leap Tomorrow 2 am,내일 오전 2시에 당신의 어머니를 만난 방법
0,is already up and tired ,is already up and tired ,is already up and tired,이미 일어나서 피곤했습니다
0,@charlottespeech I never got a bell ,@charlottespeech I never got a bell ,I never got a bell,나는 종을 얻지 못했습니다
0,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad ,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad ,IKR but i hate the lack of troyella ggmow always makes me so sad,ikr하지만 나는 Troyella ggmow의 부족이 항상 나를 너무 슬프다.
0,Josh just owned me and justin in skate. Time to study ,Josh just owned me and justin in skate. Time to study ,Josh just owned me and justin in skate Time to study,Josh는 방금 나와 스케이트 시간에 저스틴을 공부할 시간을 소유했습니다.
0,@TamboManJoe do you know how important is for me what you said? you make me cry  hahah,@TamboManJoe do you know how important is for me what you said? you make me cry  hahah,do you know how important is for me what you said you make me cry hahah,당신이 나에게 당신이 말한 내용이 얼마나 중요한지 아십니까?
1,@vanitaapplebum I am so tired of dreaming I am ready to see some reality..  ,@vanitaapplebum I am so tired of dreaming I am ready to see some reality..  ,I am so tired of dreaming I am ready to see some reality,나는 꿈이 너무 지쳤다. 나는 현실을 볼 준비가되어있다
0,Looks like I might be staying in tonight ,Looks like I might be staying in tonight ,Looks like I might be staying in tonight,내가 오늘 밤에 머물고있는 것 같습니다
0,"@jbfan10101 I know, right!? I wanted to have an account there so I could get that song, but mom wouldn't let me.. It sucks ","@jbfan10101 I know, right!? I wanted to have an account there so I could get that song, but mom wouldn't let me.. It sucks ",I know right I wanted to have an account there so I could get that song but mom wouldn t let me It sucks,나는 그 노래를 얻을 수 있도록 계정을 갖고 싶었지만 엄마는 짜증나게하지 않을 것입니다.
0,homework all day  ugh,homework all day  ugh,homework all day ugh,하루 종일 숙제
0,Doh! My dad jumped into the ocean with his camera in his pocket! ,Doh! My dad jumped into the ocean with his camera in his pocket! ,Doh My dad jumped into the ocean with his camera in his pocket,Doh 아빠는 주머니에 카메라를 가지고 바다에 뛰어 들었습니다.
0,so so so so BORED! ,so so so so BORED! ,so so so so BORED,너무 지루합니다
